"ID","Age","Gender","Adblock","DoNotTrack","Incognito","AdsEffective","PurchaseProduct","Intrusive","Personalize","Trade"
"4bc175978e12163e8f7c087ed1eea8b9",23,"M",1,1,"Frequently",2,1,5,0,0
"0883708595ef542ee0c4d5bea8421e07",31,"M",0,0,"Sometimes",2,1,2,1,6
"49dcb3e9a37cd87d78b1ddc1e9dcefdf",34,"M",0,0,"Sometimes",2,1,3,0,0
"e9d035cc0ed1552b627cf792b9835ef2",24,"F",0,0,"Sometimes",2,1,5,0,2
"e7c84347ca1f8ba42d5b8cd7aeef3060",28,"F",1,0,"Sometimes",2,1,5,0,6
"ff157d5841ac6dd7c9d3617b46ccfb56",28,"M",0,0,"Never",3,1,3,1,3
"17c4a87be72a3521e77f8221183c74bd",36,"F",0,0,"Sometimes",2,0,1,1,4
"46c85ba7a90d0d01a528c1959f74d524",36,"F",1,1,"Sometimes",2,1,3,1,1
"1b9ba716343ebe6d024690b50bb27dc3",20,"F",1,0,"Never",2,0,1,1,6
"4fa6c7a1376f262a921bb3bde8a4ebf4",20,"F",1,0,"Sometimes",3,1,5,0,2
"53c258c025546bad78a68007a066402c",31,"M",0,0,"Sometimes",3,1,3,1,2
